SliceLocation,SliceThickness,SpacingBetweenSlices,ImagePositionPatient,InstanceNumber,PixelSpacing
-17.9407653809,2.0,1.0,"[-130, -125.9024353, -17.9407654]",95,"[0.5078, 0.5078]"
-17.9407653809,2.0,1.0,"[-130, -125.9024353, -17.9407654]",95,"[0.5078, 0.5078]"
17.0592346191,2.0,1.0,"[-130, -125.9024353, 17.0592346]",130,"[0.5078, 0.5078]"
17.0592346191,2.0,1.0,"[-130, -125.9024353, 17.0592346]",130,"[0.5078, 0.5078]"
64.0592346191,2.0,1.0,"[-130, -125.9024353, 64.0592346]",177,"[0.5078, 0.5078]"
64.0592346191,2.0,1.0,"[-130, -125.9024353, 64.0592346]",177,"[0.5078, 0.5078]"
-19.9407653809,2.0,1.0,"[-130, -125.9024353, -19.9407654]",93,"[0.5078, 0.5078]"
-19.9407653809,2.0,1.0,"[-130, -125.9024353, -19.9407654]",93,"[0.5078, 0.5078]"
-99.9407653809,2.0,1.0,"[-130, -125.9024353, -99.9407654]",13,"[0.5078, 0.5078]"
-99.9407653809,2.0,1.0,"[-130, -125.9024353, -99.9407654]",13,"[0.5078, 0.5078]"
-14.9407653809,2.0,1.0,"[-130, -125.9024353, -14.9407654]",98,"[0.5078, 0.5078]"
-14.9407653809,2.0,1.0,"[-130, -125.9024353, -14.9407654]",98,"[0.5078, 0.5078]"
10.0592346191,2.0,1.0,"[-130, -125.9024353, 10.0592346]",123,"[0.5078, 0.5078]"
10.0592346191,2.0,1.0,"[-130, -125.9024353, 10.0592346]",123,"[0.5078, 0.5078]"
19.0592346191,2.0,1.0,"[-130, -125.9024353, 19.0592346]",132,"[0.5078, 0.5078]"
19.0592346191,2.0,1.0,"[-130, -125.9024353, 19.0592346]",132,"[0.5078, 0.5078]"
16.0592346191,2.0,1.0,"[-130, -125.9024353, 16.0592346]",129,"[0.5078, 0.5078]"
16.0592346191,2.0,1.0,"[-130, -125.9024353, 16.0592346]",129,"[0.5078, 0.5078]"
46.0592346191,2.0,1.0,"[-130, -125.9024353, 46.0592346]",159,"[0.5078, 0.5078]"
46.0592346191,2.0,1.0,"[-130, -125.9024353, 46.0592346]",159,"[0.5078, 0.5078]"
-78.9407653809,2.0,1.0,"[-130, -125.9024353, -78.9407654]",34,"[0.5078, 0.5078]"
-78.9407653809,2.0,1.0,"[-130, -125.9024353, -78.9407654]",34,"[0.5078, 0.5078]"
-100.9407653809,2.0,1.0,"[-130, -125.9024353, -100.940765]",12,"[0.5078, 0.5078]"
-100.9407653809,2.0,1.0,"[-130, -125.9024353, -100.940765]",12,"[0.5078, 0.5078]"
-54.9407653809,2.0,1.0,"[-130, -125.9024353, -54.9407654]",58,"[0.5078, 0.5078]"
-54.9407653809,2.0,1.0,"[-130, -125.9024353, -54.9407654]",58,"[0.5078, 0.5078]"
-57.9407653809,2.0,1.0,"[-130, -125.9024353, -57.9407654]",55,"[0.5078, 0.5078]"
-57.9407653809,2.0,1.0,"[-130, -125.9024353, -57.9407654]",55,"[0.5078, 0.5078]"
74.0592346191,2.0,1.0,"[-130, -125.9024353, 74.0592346]",187,"[0.5078, 0.5078]"
74.0592346191,2.0,1.0,"[-130, -125.9024353, 74.0592346]",187,"[0.5078, 0.5078]"
47.0592346191,2.0,1.0,"[-130, -125.9024353, 47.0592346]",160,"[0.5078, 0.5078]"
47.0592346191,2.0,1.0,"[-130, -125.9024353, 47.0592346]",160,"[0.5078, 0.5078]"
-107.9407653809,2.0,1.0,"[-130, -125.9024353, -107.940765]",5,"[0.5078, 0.5078]"
-107.9407653809,2.0,1.0,"[-130, -125.9024353, -107.940765]",5,"[0.5078, 0.5078]"
-93.9407653809,2.0,1.0,"[-130, -125.9024353, -93.9407654]",19,"[0.5078, 0.5078]"
